Term,Subject,Catalog,Section,Component,Descr,Instructor,Mtg1 Start,Mtg1 End,Mtg1 Days,Mtg2 Start,Mtg2 End,Mtg2 Days,Prereqs,Division,WI,QFR,EDI
1151,ARTH,264,1,LEC,"Amer Art&Architec,1600-Present",Lewis,02:35 PM,03:50 PM,MR,,,,ARTH 101-102 or permission of instructor,D1,,,
1151,ARTH,274,1,LEC,Chinese Calligraphy,Jang,01:10 PM,03:50 PM,W,,,,none,D1,,,
1151,ARTH,278,1,LEC,The Golden Road to Samarqand,Edwards,01:10 PM,02:25 PM,TF,,,,none,D1,,,
1151,ARTH,301,1,LEC,Methods of Art History,Hedreen,09:55 AM,11:10 AM,TR,,,,ARTH 101-102 or its equivalent,D1,,,
1151,ARTH,310,1,SEM,An American Family &Reality TV,Chavoya,01:10 PM,03:50 PM,W,,,,none,D1,WAC,,
1151,ARTH,321,T1,TUT,Architecture of Louis I. Kahn,Johnson,02:35 PM,03:50 PM,TF,,,,ARTH 101 and permission of the instructor,D1,WAC,,
1151,ARTH,361,T1,TUT,Writing About Bodies,Ockman,,,TBA,,,,"ARTH 101-102, or permission of the instructor; a writing sample that conveys the kind of subject you might be interested in pursuing",D1,WAC,,
1151,ARTH,419,1,SEM,Earth in African Art,Apotsos,01:10 PM,03:50 PM,R,,,,"this seminar is designed for advanced-level undergraduate students in Art History and Africana Studies, although permission to enroll may be awarded under special circumstances",D1,WAC,,EDI
1151,ARTH,429,1,SEM,Ambiguous Icons,Haxthausen,01:10 PM,03:50 PM,F,,,,,D1,,,
1151,ARTH,502,1,SEM,Approaches to Drawing,Clarke,01:30 PM,04:10 PM,W,,,,,D1,,,
1151,ARTH,504,1,SEM,Methods of Art Hist&Criticism,Holly,01:10 PM,03:50 PM,T,,,,none,D1,,,
1151,ARTH,505,1,SEM,Critcal Theores of Photography,Oehlrich,10:00 AM,12:40 PM,R,,,,none,D1,,,
1151,ARTH,507,1,SEM,Object Workshop,Gotlieb,,,TBA,,,,none,D1,,,
1151,ARTH,553,1,SEM,A Place for Stuff and Things,Murphy,01:10 PM,03:50 PM,R,,,,one ARTH course,D1,,,
1151,ARTH,562,1,SEM,Abstraction,English,10:00 AM,12:40 PM,W,,,,,D1,,,
1151,ARTH,563,1,SEM,Contemprary Curtorial Workshop,Breslin,,,TBA,,,,graduate art students,D1,,,
1151,ARTS,100,1,STU,Drawing I,Epping,09:55 AM,12:35 PM,TR,,,,none,D1,,,
1151,ARTS,100,2,STU,Drawing I,Levin,07:00 PM,09:40 PM,M,,,,none,D1,,,
1151,ARTS,101,1,STU,Artists Respnd Dangerous Times,Howard,01:10 PM,03:50 PM,T,,,,none,D1,,,EDI
1151,ARTS,211,T1,TUT,Photographic Montage & Collage,Laleian,01:10 PM,03:50 PM,W,,,,none,D1,,,
1151,ARTS,215,1,STU,Sustainabuilding (verb),Benedict,01:10 PM,03:50 PM,R,,,,"none but ARTS 220 Architectural Design 1 and/or ENVI 108 Energy and Science Technology, are recommended; ""permission of the instructor is required; registration does not guarantee admission to the course""",D1,,,
1151,ARTS,237,1,STU,Sculpture in the Digital Age,Clowes,10:00 AM,12:50 PM,W,,,,none,D1,,,
1151,ARTS,241,1,STU,Painting,Glier,11:20 AM,12:35 PM,T,01:10 PM,03:50 PM,T,ARTS 100; ARTS 230 recommended,D1,,,
1151,ARTS,266,1,STU,Low Tech Printmaking,Takenaga,09:55 AM,12:35 PM,T,,,,ARTS 100,D1,,,
1151,ARTS,267,T1,TUT,Artists' Books,Takenaga,01:10 PM,03:50 PM,M,,,,"ANY ONE of the following: ARTS 230, 241, 242, 257, 263, 264, or 266",D1,,,
1151,ARTS,275,1,STU,Introduction to Sculpture,Faler,01:10 PM,03:50 PM,MR,,,,any ARTS 100 class,D1,,,
1151,ARTS,288,1,STU,Video,Howard,09:55 AM,12:35 PM,R,,,,,D1,,,
1151,ARTS,310,T1,TUT,Appearance/Disappearance,Epping,10:00 AM,12:00 PM,M,01:10 PM,03:50 PM,M,"any one of the following: ARTS 230, 241, 242, 257, 263, or 264",D1,,,
1151,ARTS,319,1,STU,Junior Seminar,Raja,01:10 PM,03:50 PM,F,,,,"three studio courses required for the major, including at least two which are 200 level or higher (otherwise, by permission of instructor)",D1,,,
1151,ARTS,344,1,STU,Abstraction,Glier,11:00 AM,12:15 PM,W,01:10 PM,03:50 PM,W,"ARTS 230, or a 200-level painting class or a 200-level sculpture class, or permission of the instructor",D1,,,
1151,ASTR,101,1,LEC,Stars:From Suns to Black Holes,Pasachoff,09:55 AM,11:10 AM,TR,,,,none,D3,,,
1151,ASTR,101,2,LAB,Stars:From Suns to Black Holes,Souza,01:00 PM,02:30 PM,T,,,,none,D3,,,
1151,ASTR,101,4,LAB,Stars:From Suns to Black Holes,Souza,01:00 PM,02:30 PM,W,,,,none,D3,,,
1151,ASTR,101,5,LAB,Stars:From Suns to Black Holes,Souza,02:30 PM,04:00 PM,W,,,,none,D3,,,
1151,ASTR,111,1,LEC,Introduction to Astrophysics,Kwitter,11:20 AM,12:35 PM,TR,,,,"a year of high school Physics, or concurrent college Physics, or permission of instructor, and MATH 140 or equivalent",D3,,QFR,
1151,ASTR,111,2,LAB,Introduction to Astrophysics,Souza,01:00 PM,04:00 PM,M,,,,"a year of high school Physics, or concurrent college Physics, or permission of instructor, and MATH 140 or equivalent",D3,,QFR,
1151,ASTR,111,3,LAB,Introduction to Astrophysics,Souza,01:00 PM,04:00 PM,R,,,,"a year of high school Physics, or concurrent college Physics, or permission of instructor, and MATH 140 or equivalent",D3,,QFR,
1151,ASTR,207,T1,TUT,Extraterrestrial Life/Galaxy,Kwitter,,,TBA,,,,"ASTR 111 or BIOL 101-102, CHEM 101-102, or GEOS 101 or equivalent science preparation.; instructor's permission required",D3,WAC,,
1151,ASTR,412,T1,TUT,Solar Physics,Pasachoff,,,TBA,,,,ASTR 111 (or ASTR 101 and either 102 or 104 with permission of instructor) and a 200-level PHYS or ASTR course,D3,WAC,,
1151,BIMO,321,1,LEC,Biochem I:Struc&Func Molecules,Taurog,10:00 AM,10:50 AM,MWF,,,,BIOL 101 and CHEM 251/255 and CHEM 155/256,D3,,QFR,
1151,BIMO,321,2,LAB,Biochem I:Struc&Func Molecules,Taurog,01:00 PM,05:00 PM,M,,,,BIOL 101 and CHEM 251/255 and CHEM 155/256,D3,,QFR,
1151,BIMO,321,3,LAB,Biochem I:Struc&Func Molecules,Kaplan,01:00 PM,05:00 PM,W,,,,BIOL 101 and CHEM 251/255 and CHEM 155/256,D3,,QFR,
1151,BIMO,321,4,LAB,Biochem I:Struc&Func Molecules,Taurog,01:00 PM,05:00 PM,T,,,,BIOL 101 and CHEM 251/255 and CHEM 155/256,D3,,QFR,
1151,BIMO,321,5,LAB,Biochem I:Struc&Func Molecules,Kaplan,01:00 PM,05:00 PM,R,,,,BIOL 101 and CHEM 251/255 and CHEM 155/256,D3,,QFR,
1151,BIOL,101,A1,LEC,The Cell,Swoap,09:55 AM,11:10 AM,TR,,,,none,D3,,,
1151,BIOL,101,A2,LEC,The Cell,Swoap,08:30 AM,09:45 AM,TR,,,,none,D3,,,
1151,BIOL,101,A3,LAB,The Cell,MacIntire,01:00 PM,04:00 PM,M,,,,none,D3,,,
1151,BIOL,101,A4,LAB,The Cell,Engel,01:00 PM,04:00 PM,T,,,,none,D3,,,
1151,BIOL,101,A5,LAB,The Cell,MacIntire,01:00 PM,04:00 PM,W,,,,none,D3,,,
1151,BIOL,101,A6,LAB,The Cell,Dean,01:00 PM,04:00 PM,R,,,,none,D3,,,
1151,BIOL,101,B1,LEC,The Cell,Lynch,10:00 AM,10:50 AM,MWF,,,,none,D3,,,
1151,BIOL,101,B2,LEC,The Cell,Lynch,11:00 AM,11:50 AM,MWF,,,,none,D3,,,
1151,BIOL,101,B3,LAB,The Cell,Carone,01:00 PM,04:00 PM,M,,,,none,D3,,,
1151,BIOL,101,B4,LAB,The Cell,Carone,01:00 PM,04:00 PM,T,,,,none,D3,,,
1151,BIOL,101,B5,LAB,The Cell,Carone,01:00 PM,04:00 PM,W,,,,none,D3,,,
1151,BIOL,101,B6,LAB,The Cell,Carone,01:00 PM,04:00 PM,R,,,,none,D3,,,
1151,BIOL,202,1,LEC,Genetics,Maroja,11:00 AM,11:50 AM,MWF,,,,BIOL 101 and 102,D3,,QFR,
1151,BIOL,202,2,LAB,Genetics,Dean,01:00 PM,04:00 PM,M,,,,BIOL 101 and 102,D3,,QFR,
1151,BIOL,202,3,LAB,Genetics,Dean,01:00 PM,04:00 PM,T,,,,BIOL 101 and 102,D3,,QFR,
1151,BIOL,202,4,LAB,Genetics,Dean,01:00 PM,04:00 PM,W,,,,BIOL 101 and 102,D3,,QFR,
1151,BIOL,202,5,LAB,Genetics,Carone,01:00 PM,04:00 PM,R,,,,BIOL 101 and 102,D3,,QFR,
1151,BIOL,203,1,LEC,Ecology,Edwards,10:00 AM,10:50 AM,MWF,,,,"BIOL 101 and 102, or ENVI 101 or 102, or permission of instructor",D3,,QFR,
1151,BIOL,203,2,LAB,Ecology,Edwards,01:00 PM,04:00 PM,M,,,,"BIOL 101 and 102, or ENVI 101 or 102, or permission of instructor",D3,,QFR,
1151,BIOL,203,3,LAB,Ecology,Edwards,01:00 PM,04:00 PM,T,,,,"BIOL 101 and 102, or ENVI 101 or 102, or permission of instructor",D3,,QFR,
1151,BIOL,203,4,LAB,Ecology,Morales,01:00 PM,04:00 PM,W,,,,"BIOL 101 and 102, or ENVI 101 or 102, or permission of instructor",D3,,QFR,
1151,BIOL,220,1,LEC,Field Botany&Plant Naturl Hist,Art,09:00 AM,09:50 AM,MWF,,,,none,D3,,,
1151,BIOL,220,2,LAB,Field Botany&Plant Naturl Hist,Art,01:00 PM,04:00 PM,T,,,,none,D3,,,
1151,BIOL,220,3,LAB,Field Botany&Plant Naturl Hist,Art,01:00 PM,04:00 PM,W,,,,none,D3,,,
1151,BIOL,301,1,LEC,Developmental Biology,Savage,09:55 AM,11:10 AM,TR,,,,BIOL 202 or permission of instructor,D3,,,
1151,BIOL,301,2,LAB,Developmental Biology,Savage,01:00 PM,04:00 PM,T,,,,BIOL 202 or permission of instructor,D3,,,
1151,BIOL,301,3,LAB,Developmental Biology,Savage,01:00 PM,04:00 PM,W,,,,BIOL 202 or permission of instructor,D3,,,
1151,BIOL,311,1,LEC,Neural Systems and Circuits,Carter,09:00 AM,09:50 AM,MWF,,,,NSCI 201 or BIOL 205,D3,,,
1151,BIOL,311,2,LAB,Neural Systems and Circuits,Carter,01:00 PM,04:00 PM,M,,,,NSCI 201 or BIOL 205,D3,,,
1151,BIOL,311,3,LAB,Neural Systems and Circuits,Carter,01:00 PM,04:00 PM,T,,,,NSCI 201 or BIOL 205,D3,,,
1151,BIOL,315,1,LEC,Microbiology,Farewell,09:00 AM,09:50 AM,MWF,,,,BIOL 202,D3,,,
1151,BIOL,315,2,LAB,Microbiology,Farewell,01:00 PM,04:00 PM,M,,,,BIOL 202,D3,,,
1151,BIOL,315,3,LAB,Microbiology,Farewell,01:00 PM,04:00 PM,T,,,,BIOL 202,D3,,,
1151,BIOL,319,1,LEC,"Bioinfrmtcs,Genomics,Proteomcs",Banta,12:25 PM,01:10 PM,W,,,,"BIOL 202; or; students who have not taken BIOL 202 but have taken BIOL 101/AP Biology and CSCI 315 or PHYS 315 or CSCI 106, may enroll with permission of instructor; No prior computer programming experience is required",D3,,QFR,
1151,BIOL,319,2,LAB,"Bioinfrmtcs,Genomics,Proteomcs",Banta,01:15 PM,04:00 PM,WR,,,,"BIOL 202; or; students who have not taken BIOL 202 but have taken BIOL 101/AP Biology and CSCI 315 or PHYS 315 or CSCI 106, may enroll with permission of instructor; No prior computer programming experience is required",D3,,QFR,
1151,BIOL,405,T1,TUT,Sociobiology,Morales,,,TBA,,,,BIOL 202 and either BIOL/ENVI 203 or 204 or 302 or 305 or permission of instructor; open to juniors and seniors,D3,WAC,,
1151,BIOL,406,1,SEM,Dynamics of Membrane Systems,Engel,09:55 AM,11:10 AM,TR,,,,BIOL 202,D3,,,
1151,BIOL,408,1,SEM,RNA Worlds,Carone,11:20 AM,12:35 PM,TR,,,,BIOL 202; open to juniors and seniors,D3,,,
1151,BIOL,414,1,SEM,Molecular Mechanisms,Ting,09:55 AM,11:10 AM,TR,,,,BIOL 202; open to juniors and seniors,D3,,,
1151,BIOL,414,2,SEM,Molecular Mechanisms,Ting,11:20 AM,12:35 PM,TR,,,,BIOL 202; open to juniors and seniors,D3,,,
1151,CHEM,151,1,LEC,Intro Concepts of Chemistry,Goh,09:00 AM,09:50 AM,MWF,,,,all students planning to enroll are required to take the online Chemistry Placement Test by June 23. Students with a strong background in chemistry from high school are directed to CHEM 153 or 155,D3,,QFR,
1151,CHEM,151,2,LAB,Intro Concepts of Chemistry,Goh,01:00 PM,05:00 PM,M,,,,all students planning to enroll are required to take the online Chemistry Placement Test by June 23. Students with a strong background in chemistry from high school are directed to CHEM 153 or 155,D3,,QFR,
1151,CHEM,151,3,LAB,Intro Concepts of Chemistry,Strauch,01:00 PM,05:00 PM,T,,,,all students planning to enroll are required to take the online Chemistry Placement Test by June 23. Students with a strong background in chemistry from high school are directed to CHEM 153 or 155,D3,,QFR,
1151,CHEM,151,4,LAB,Intro Concepts of Chemistry,Strauch,01:00 PM,05:00 PM,W,,,,all students planning to enroll are required to take the online Chemistry Placement Test by June 23. Students with a strong background in chemistry from high school are directed to CHEM 153 or 155,D3,,QFR,
1151,CHEM,151,5,LAB,Intro Concepts of Chemistry,MacIntire,01:00 PM,05:00 PM,R,,,,all students planning to enroll are required to take the online Chemistry Placement Test by June 23. Students with a strong background in chemistry from high school are directed to CHEM 153 or 155,D3,,QFR,
1151,CHEM,151,7,LAB,Intro Concepts of Chemistry,MacIntire,07:00 PM,11:00 PM,M,,,,all students planning to enroll are required to take the online Chemistry Placement Test by June 23. Students with a strong background in chemistry from high school are directed to CHEM 153 or 155,D3,,QFR,
1151,CHEM,153,1,LEC,Concepts Chem: Adv Section,Gehring,09:00 AM,09:50 AM,MWF,,,,students are required to take the online Chemistry Placement Test by June 23 and to meet with a faculty member during First Days,D3,,QFR,
1151,CHEM,153,2,LAB,Concepts Chem: Adv Section,Gehring,01:00 PM,05:00 PM,W,,,,students are required to take the online Chemistry Placement Test by June 23 and to meet with a faculty member during First Days,D3,,QFR,
1151,CHEM,153,3,LAB,Concepts Chem: Adv Section,Gehring,01:00 PM,05:00 PM,R,,,,students are required to take the online Chemistry Placement Test by June 23 and to meet with a faculty member during First Days,D3,,QFR,
1151,CHEM,153,4,LAB,Concepts Chem: Adv Section,Strauch,01:00 PM,05:00 PM,F,,,,students are required to take the online Chemistry Placement Test by June 23 and to meet with a faculty member during First Days,D3,,QFR,
1151,CHEM,153,5,LAB,Concepts Chem: Adv Section,Strauch,08:00 AM,11:15 AM,R,,,,students are required to take the online Chemistry Placement Test by June 23 and to meet with a faculty member during First Days,D3,,QFR,
1151,CHEM,155,1,LEC,Principles of Modern Chemistry,Peacock-Lopez,08:00 AM,08:50 AM,MWF,,,,students are required to take the online Chemistry Placement Test by June 23 and to meet with a faculty member during First Days,D3,,QFR,
1151,CHEM,155,2,LAB,Principles of Modern Chemistry,Peacock-Lopez,01:00 PM,05:00 PM,M,,,,students are required to take the online Chemistry Placement Test by June 23 and to meet with a faculty member during First Days,D3,,QFR,
1151,CHEM,155,3,LAB,Principles of Modern Chemistry,MacIntire,01:00 PM,05:00 PM,T,,,,students are required to take the online Chemistry Placement Test by June 23 and to meet with a faculty member during First Days,D3,,QFR,
1151,CHEM,155,4,LAB,Principles of Modern Chemistry,Peacock-Lopez,07:00 PM,11:00 PM,M,,,,students are required to take the online Chemistry Placement Test by June 23 and to meet with a faculty member during First Days,D3,,QFR,
1151,CHEM,251,1,LEC,"Organic Chem, Intermed Level",Blair,10:00 AM,10:50 AM,MWF,,,,CHEM 156 or permission of instructor,D3,,,
1151,CHEM,251,2,LAB,"Organic Chem, Intermed Level",Blair,01:00 PM,05:00 PM,M,,,,CHEM 156 or permission of instructor,D3,,,
1151,CHEM,251,3,LAB,"Organic Chem, Intermed Level",Blair,01:00 PM,05:00 PM,T,,,,CHEM 156 or permission of instructor,D3,,,
1151,CHEM,251,4,LAB,"Organic Chem, Intermed Level",Olson Blair,01:00 PM,05:00 PM,W,,,,CHEM 156 or permission of instructor,D3,,,
1151,CHEM,251,5,LAB,"Organic Chem, Intermed Level",Blair,01:00 PM,05:00 PM,R,,,,CHEM 156 or permission of instructor,D3,,,
1151,CHEM,251,6,LAB,"Organic Chem, Intermed Level",Richardson,08:00 AM,12:00 PM,T,,,,CHEM 156 or permission of instructor,D3,,,
1151,CHEM,251,7,LAB,"Organic Chem, Intermed Level",Blair,07:00 PM,11:00 PM,M,,,,CHEM 156 or permission of instructor,D3,,,
1151,CHEM,251,8,LAB,"Organic Chem, Intermed Level",Smith,01:00 PM,05:00 PM,M,,,,CHEM 156 or permission of instructor,D3,,,
1151,CHEM,255,1,LEC,"Organic Chem, Intermed Level",Blair,10:00 AM,10:50 AM,MWF,,,,permission of instructor is required,D3,,,
1151,CHEM,255,2,LAB,"Organic Chem, Intermed Level",Goh,01:00 PM,05:00 PM,R,,,,permission of instructor is required,D3,,,
1151,CHEM,341,1,LEC,Toxicology and Cancer,Richardson,11:00 AM,12:15 PM,MWF,,,,CHEM 156; may be taken concurrently with CHEM 251/255; a basic understanding of organic chemistry,D3,,,
1151,CHEM,343,1,LEC,Medicinal Chemistry,Smith,09:55 AM,11:10 AM,TR,,,,CHEM 251 & BIOL 101 or permission of instructor; not open to students who have taken CHEM 111 or CHEM 112,D3,,,
1151,CHEM,361,1,LEC,Quantum Chem/Chemcl Dynamics,Thoman,09:00 AM,09:50 AM,MWF,,,,CHEM 155 or 256,D3,,,
1151,CHEM,361,2,LAB,Quantum Chem/Chemcl Dynamics,Thoman,01:00 PM,05:00 PM,W,,,,CHEM 155 or 256,D3,,,
1151,CHEM,364,1,LEC,Instrumental Methods Analysis,Barber,08:30 AM,09:45 AM,TR,,,,CHEM 155 or 256 and 251/255; may be taken concurrently with CHEM 256 with permission of instructor,D3,,,
1151,CHEM,364,2,LAB,Instrumental Methods Analysis,Barber,01:00 PM,05:00 PM,T,,,,CHEM 155 or 256 and 251/255; may be taken concurrently with CHEM 256 with permission of instructor,D3,,,
1151,CHEM,364,3,LAB,Instrumental Methods Analysis,Thoman,01:00 PM,05:00 PM,M,,,,CHEM 155 or 256 and 251/255; may be taken concurrently with CHEM 256 with permission of instructor,D3,,,
1151,CHEM,364,4,LAB,Instrumental Methods Analysis,Barber,01:00 PM,05:00 PM,W,,,,CHEM 155 or 256 and 251/255; may be taken concurrently with CHEM 256 with permission of instructor,D3,,,
1151,CHIN,101,1,LEC,Basic Chinese,Chang,09:00 AM,09:50 AM,MWF,09:55 AM,11:10 AM,TR,none,D1,,,EDI
1151,CHIN,101,2,LEC,Basic Chinese,Chang,10:00 AM,10:50 AM,MWF,11:20 AM,12:35 PM,TR,none,D1,,,EDI
1151,CHIN,201,1,LEC,Intermediate Chinese,Yu,11:00 AM,11:50 AM,MWF,08:55 AM,09:45 AM,TR,CHIN 102 or permission of instructor,D1,,,EDI
1151,CHIN,201,2,LEC,Intermediate Chinese,Yu,12:00 PM,12:50 PM,MWF,09:55 AM,10:45 AM,TR,CHIN 102 or permission of instructor,D1,,,EDI
1151,CHIN,301,1,LEC,Upper Intermediate Chinese,Li,01:35 PM,02:25 PM,MF,01:35 PM,02:25 PM,TR,CHIN 202 or permission of instructor,D1,,,EDI
1151,CHIN,301,2,LEC,Upper Intermediate Chinese,Li,02:35 PM,03:25 PM,MF,02:35 PM,03:25 PM,TR,CHIN 202 or permission of instructor,D1,,,EDI
1151,CHIN,401,1,LEC,Advanced Chinese,Li,08:30 AM,09:45 AM,MF,,,,CHIN 302 or permission of instructor,D1,,,EDI
1151,CHIN,401,2,CON,Advanced Chinese,Li,02:10 PM,03:00 PM,W,,,,CHIN 302 or permission of instructor,D1,,,EDI
1151,CHIN,401,3,CON,Advanced Chinese,Li,03:10 PM,04:00 PM,W,,,,CHIN 302 or permission of instructor,D1,,,EDI
1151,CHIN,412,1,SEM,Intro to Classical Chinese,Nugent,02:35 PM,03:50 PM,TF,,,,CHIN 202 or extensive reading knowledge of Chinese characters through other languages,D1,,,
1151,CHIN,421,1,SEM,"Slides, Stage, and Cinema",He,02:35 PM,03:50 PM,MR,,,,CHIN 402 or permission of instructor,D1,,,
1151,CLAS,102,1,LEC,Roman Lit: Foundation& Empire,Wilcox,01:10 PM,02:25 PM,MR,,,,none,D1,,,
1151,CLAS,200,1,SEM,History of the Book,Dekel,01:10 PM,02:25 PM,TF,01:10 PM,02:00 PM,W,none,D1,,,
1151,CLAS,258,1,LEC,Divine Kingship,Rubin,11:20 AM,12:35 PM,TR,,,,none,D1,,,
1151,CLAS,341,1,SEM,Geography in Graeco-Roman Wrld,Rubin,01:10 PM,02:25 PM,TF,,,,none,D1,,,EDI
1151,CLAS,499,1,LEC,Senior Colloquium,Dekel,,,TBA,,,,,D6,,,
1151,CLGR,101,1,LEC,Introduction to Greek,Christensen,11:00 AM,12:15 PM,MWF,,,,none; designed for students who are beginning Greek or have studied less than two years of Greek in secondary school; students with some previous experience in Greek may want to enroll in CLGR 102 only (consult the department),D1,,,
1151,CLGR,201,1,LEC,Intermediate Greek,Lovell,09:00 AM,09:50 AM,MWF,,,,CLGR 101-102 or two years of Greek in secondary school,D1,,,
1151,CLGR,404,1,SEM,Tragedy,Hoppin,02:35 PM,03:50 PM,TF,,,,CLGR 201 or permission of the instructor,D1,,,
1151,CLLA,101,1,LEC,Introduction to Latin,Hoppin,11:00 AM,12:15 PM,MWF,,,,none; this course is designed for the student with no previous preparation in Latin or with only a little Latin who wishes a refresher; students with some previous experience in Latin may want to enroll in CLLA 102 only (consult the department),D1,,,
